
Time Dependent Production (Energy Units) ELECTRICITY FROM TRANSMISSION

,DRC
,Region,year ,fuel,,TS01,TS02,TS03,TS04,TS05,TS06,TS07,TS08,TS09,TS10,TS11,TS12,TS13,TS14,TS15,TS16,TS17,TS18,TS19,TS20,TS21,TS22,TS23,TS24,TS25,TS26,TS27,TS28,TS29,TS30,TS31,TS32,TS33,TS34,TS35,TS36,TS37,TS38,TS39,TS40
,DRC,2020,D1ELC01,,0.818583,0.441776,0.547332,0.568696,0.706625,0.631277,0.706625,0.706625,0.807331,0.193798,1.40443,0.738407,0.281835,0.29466,0.410729,0.350979,0.287398,0.364386,0.354165,0.191819,0.495451,0.300786,0.375961,0.399566,0.586338,0.490344,0.382824,0.510436,0.662098,0.395183,1.38348,0.23538,0.278813,0.292447,0.406358,0.348471,0.283685,0.35866,0.351542,0.190193
,DRC,2020,D2ELC01,,1.35633,0.49815,0.528229,0.53598,0.603965,0.569454,0.530096,0.577479,0.568796,0.472979,1.3408,0.493161,0.52251,0.530026,0.597056,0.563518,0.524232,0.569866,0.561466,0.467992,1.35572,0.498335,0.527945,0.536466,0.60348,0.569538,0.529342,0.57614,0.568997,0.473247,1.32604,0.487606,0.51681,0.524827,0.591089,0.558204,0.518472,0.563177,0.556148,0.463192
,DRC,2021,D1ELC01,,1.58663,0.279923,0.332325,0.347755,0.48511,0.413651,0.338652,0.431427,0.420306,0.225628,2.20662,0.27749,0.328515,0.343501,0.479122,0.409308,0.33501,0.424961,0.413018,0.223324,0.576465,0.280334,0.331757,0.348858,0.484669,0.414251,0.338052,0.429597,0.420054,0.225944,2.18231,0.27424,0.324993,0.340923,0.474024,0.406386,0.330679,0.418279,0.409962,0.221433
,DRC,2021,D2ELC01,,1.57309,0.578495,0.613856,0.622968,0.70289,0.662319,0.61605,0.671752,0.661544,0.548902,1.55508,0.572705,0.607207,0.616043,0.694843,0.655416,0.60923,0.662877,0.653002,0.543114,1.57239,0.578712,0.613522,0.623539,0.70232,0.662418,0.615164,0.670177,0.66178,0.549217,1.53796,0.566252,0.600584,0.610009,0.687906,0.649247,0.602537,0.655091,0.646829,0.537549
,DRC,2022,D1ELC01,,2.46632,0.322156,0.382619,0.400421,0.558896,0.47645,0.389913,0.496948,0.714487,0.433823,2.49927,0.319358,0.378232,0.395522,0.551995,0.471447,0.385719,0.489496,0.714487,0.424185,0.942596,0.322631,0.381964,0.401694,0.558386,0.477143,0.38922,0.494836,0.722362,0.429188,2.43834,0.315617,0.374177,0.392557,0.546121,0.468085,0.380732,0.481795,0.714487,0.415299
,DRC,2022,D2ELC01,,1.80327,0.66388,0.704892,0.715461,0.808155,0.7611,0.707436,0.772039,0.7602,0.629557,1.78263,0.657238,0.697255,0.707502,0.798895,0.753168,0.6996,0.761819,0.750366,0.622918,1.80247,0.664131,0.704505,0.716122,0.807493,0.761215,0.706408,0.770213,0.760474,0.629922,1.763,0.649832,0.689651,0.700582,0.790928,0.74609,0.691915,0.752866,0.743284,0.616541
,DRC,2023,D1ELC01,,1.65135,0.434379,0.435895,0.456213,0.637085,0.542988,0.505527,0.844969,0.835511,0.421486,1.20006,0.494162,0.430896,0.45063,0.629218,0.537286,0.87441,0.842154,0.952983,0.410535,2.46513,0.367426,0.435147,0.457666,0.636503,0.543779,0.822495,1.0122,1.00153,0.415439,2.41672,0.455442,0.426277,0.447254,0.622523,0.533458,0.433753,0.814365,0.80167,0.400449
,DRC,2023,D2ELC01,,2.04648,0.754157,0.80118,0.813297,0.919574,0.865625,0.804096,0.878164,0.86459,0.714804,2.02305,0.746616,0.792497,0.804246,0.909031,0.856603,0.795185,0.866521,0.853389,0.707265,2.04557,0.754446,0.800736,0.814056,0.918815,0.865756,0.802917,0.87607,0.864904,0.715222,2.00078,0.738201,0.783855,0.796388,0.899973,0.848565,0.78645,0.856332,0.845345,0.700031
,DRC,2024,D1ELC01,,2.44459,0.414034,0.492067,0.515041,0.719551,0.613157,0.501468,0.897927,0.884622,0.415774,1.90329,0.447287,0.486424,0.508736,0.710664,0.606719,0.496074,1.02471,0.860491,0.450339,1.90864,0.468706,0.491222,0.516684,0.718894,0.614051,0.500574,0.897367,0.876198,0.408321,2.36015,0.405632,0.481209,0.504928,0.703103,0.602398,0.489657,0.860149,0.846441,0.392091
,DRC,2024,D2ELC01,,2.30234,0.849187,0.902568,0.916324,1.03697,0.975727,0.905877,0.98996,0.97455,0.804511,2.27599,0.840699,0.892784,0.906121,1.02507,0.965558,0.895835,0.976815,0.961907,0.796026,2.30133,0.849515,0.902064,0.917185,1.03611,0.975876,0.904539,0.987583,0.974907,0.804986,2.25093,0.831222,0.88305,0.897277,1.01487,0.956509,0.885994,0.965325,0.952852,0.787889
